lambda=0.1	lambda=0.3	lambda=0.7	lambda=1	
0.875151515151515	0.914052287581699	0.805964405964406	0.732619047619048	
0.91991341991342	0.905555555555556	0.827777777777778	0.896296296296296	
0.868484848484848	0.841428571428571	0.883846153846154	0.857867132867133	
0.765151515151515	0.829563492063492	0.876818181818182	0.91959595959596	
0.969230769230769	0.925925925925926	0.799623216289883	0.926984126984127	
0.811890838206628	0.817121212121212	0.921367521367521	0.975	
0.866309523809524	0.758285831815244	0.811580086580087	0.84686974789916	
0.931818181818182	0.933333333333333	0.961818181818182	0.95959595959596	
0.829982363315697	0.877480158730159	0.820367132867133	1	
0.907326007326007	0.921818181818182	0.968253968253968	0.926190476190476	
0.881834215167549	0.727893217893218	0.877857142857143	0.966666666666667	
0.93	0.93	0.898636363636364	0.941818181818182	
0.797301587301587	0.898484848484848	0.831604506604507	0.977777777777778	
0.791428571428571	0.855459355459355	0.780864197530864	0.81510878010878	
0.819761904761905	0.801666666666667	0.812698412698413	0.800705467372134	
0.825	0.84710351377018	0.896969696969697	0.761818181818182	
0.935897435897436	0.923809523809524	0.889285714285714	0.941666666666667	
0.904444444444444	0.732539682539682	0.81030303030303	0.9	
0.824112554112554	0.952777777777778	0.920779220779221	0.825186541853209	
0.787385620915033	0.887777777777778	0.975308641975309	0.983333333333333	
0.865384615384615	0.809090909090909	0.952564102564103	0.966666666666667	
0.801318681318681	0.937777777777778	0.907126823793491	0.851428571428571	
0.903809523809524	0.801025641025641	0.918398268398268	0.933333333333333	
0.802564102564103	0.902331002331003	0.921428571428571	0.929761904761905	
0.882710622710623	0.93030303030303	0.955	0.892857142857143	
0.873484848484849	0.889206349206349	0.983333333333333	0.861915861915862	
0.983333333333333	0.944444444444444	0.938095238095238	0.9	
0.949230769230769	0.873484848484848	0.933821733821734	0.886710239651416	
0.921428571428571	0.867472527472527	0.96	0.848333333333333	
0.875873015873016	0.865858585858586	0.946969696969697	0.917179487179487	
0.918437118437118	0.820151515151515	0.85459595959596	0.811941391941392	
0.921848739495798	0.860084033613445	0.888675213675214	0.962962962962963	
0.953246753246753	0.915151515151515	0.955555555555555	1	
0.831111111111111	0.921428571428571	0.903636363636364	0.952777777777778	
0.887179487179487	0.931818181818182	0.890659340659341	0.937037037037037	
0.768581418581419	0.866666666666667	0.958333333333333	0.96	
0.909467787114846	0.792279942279942	0.912842712842713	0.861111111111111	
0.766880341880342	0.935555555555555	0.871015712682379	0.904273504273504	
0.868095238095238	0.91959595959596	0.891558441558442	0.981818181818182	
0.829523809523809	0.89	0.929761904761905	0.924382284382284	
0.92979797979798	0.809675324675325	0.933035714285714	1	
0.847301587301587	0.929206349206349	0.977777777777778	0.941666666666667	
0.746854811854812	0.98	0.972222222222222	0.848290598290598	
0.91	0.919444444444445	0.927472527472527	0.964387464387464	
0.899230769230769	0.918452380952381	0.954545454545455	0.84030303030303	
0.829761904761905	0.9	0.899206349206349	0.929761904761905	
0.962393162393162	0.908080808080808	0.975308641975309	0.894444444444444	
0.841666666666667	0.895555555555556	0.927777777777778	0.977272727272727	
0.977777777777778	0.96	0.837941176470588	0.858024691358025	
0.853160173160173	0.879166666666667	1	0.975	
0.829523809523809	0.898148148148148	0.892592592592593	0.901770451770452	
0.863636363636364	0.905	0.932539682539683	0.971428571428572	
0.876068376068376	0.869523809523809	0.877085877085877	0.929761904761905	
0.877544677544677	0.956818181818182	0.941818181818182	0.95	
0.944615384615385	0.90712682379349	0.949206349206349	0.933333333333333	
0.95	0.95	0.87630579297246	0.845050505050505	
0.908802308802309	0.895634920634921	0.981818181818182	0.916883116883117	
0.933333333333333	0.943333333333333	0.951048951048951	0.954761904761905	
0.946031746031746	0.79452380952381	0.905303030303031	0.850970017636684	
0.890856057522724	1	0.945609945609946	0.903439153439153	
0.862777777777778	0.925274725274725	0.93	0.914357864357864	
0.93034188034188	0.895555555555556	0.868095238095238	0.796205646205646	
0.891818181818182	0.898484848484848	0.941666666666667	0.962962962962963	
0.816740890688259	1	0.93	0.975308641975309	
0.936818181818182	0.983333333333333	0.963636363636364	0.977777777777778	
0.879444444444444	0.926190476190476	0.93030303030303	0.951282051282051	
0.982905982905983	1	0.929761904761905	0.934615384615385	
0.952564102564103	0.927777777777778	0.950617283950617	0.862842712842713	
0.911904761904762	0.9	0.966433566433566	0.851190476190476	
0.98	0.921433566433566	0.913095238095238	0.901428571428572	
0.817418546365915	0.945454545454546	0.93	0.92	
0.916818181818182	0.9	0.971428571428572	0.915151515151515	
0.906944444444444	0.863583638583639	0.963636363636364	0.916666666666667	
