gamma=0.1	gamma=0.3	gamma=0.7	gamma=0.9	
0.805996472663139	0.778961038961039	0.736101589042766	0.734640522875817	
0.756459330143541	0.861818181818182	0.631461131461131	0.7650623885918	
0.748556998556999	0.810391496666007	0.878787878787879	0.881032547699214	
0.812777777777778	0.764927810980443	0.920054945054945	0.787843137254902	
0.808621933621934	0.75015873015873	0.808872549019608	0.831216931216931	
0.843167249417249	0.7520337995338	0.641077441077441	0.791975308641975	
0.84034188034188	0.697296037296037	0.776984126984127	0.851426024955437	
0.890812890812891	0.78327731092437	0.776984126984127	0.825925925925926	
0.781428571428571	0.856442577030812	0.782106782106782	0.890659340659341	
0.905	0.839381207028266	0.929193899782135	0.847646180979514	
0.793496732026144	0.861843711843712	0.852813852813853	0.815	
0.867226890756303	0.832244422244422	0.876666666666667	0.74368551738117	
0.865627705627706	0.70266290726817	0.889594356261023	0.721604938271605	
0.849007936507936	0.722438672438672	0.88489010989011	0.891369047619048	
0.798095238095238	0.813826728826729	0.910064935064935	0.890812890812891	
0.849119769119769	0.830952380952381	0.865151515151515	0.766041366041366	
0.91875	0.910213243546577	0.760912698412698	0.84	
0.714444444444444	0.774415584415584	0.907828282828283	0.779761904761905	
0.899118165784832	0.851428571428571	0.878484848484849	0.808641975308642	
0.898412698412698	0.73038961038961	0.890151515151515	0.85448343079922	
0.977777777777778	0.864197530864197	0.96875	0.886666666666667	
0.779166666666667	0.881481481481481	0.816035696329814	0.955555555555555	
0.829174788823912	0.78702380952381	0.75984126984127	0.901138367805035	
0.8	0.888461538461539	0.867758385405444	0.777272727272727	
0.711565656565657	0.854890788224121	0.749833333333333	0.828888888888889	
0.769871794871795	0.894444444444444	0.845582812249479	0.843246753246753	
0.809611992945326	0.821675579322638	0.83959595959596	0.821698671698672	
0.846969696969697	0.756318681318681	0.861428571428571	0.843398268398268	
0.763809523809524	0.784660894660895	0.844786324786325	0.900997150997151	
0.858104858104858	0.950617283950617	0.893906093906094	0.851111111111111	
0.878835978835979	0.86331569664903	0.891478891478892	0.949206349206349	
0.922857142857143	0.862121212121212	0.839607843137255	0.938034188034188	
0.861728395061728	0.79970473970474	0.806282051282051	0.85016835016835	
0.918871252204585	0.821896621896622	0.87954822954823	0.95959595959596	
0.780555555555556	0.9	0.905205905205905	0.891818181818182	
0.87037037037037	0.816556776556777	0.792777777777778	0.870220588235294	
0.844230769230769	0.915151515151515	0.905555555555556	0.881623931623931	
0.941120607787274	0.961111111111111	0.846031746031746	0.831916971916972	
0.889285714285714	0.88030303030303	0.891818181818182	0.946031746031746	
0.885454545454545	0.773023218611454	0.876969696969697	0.882222222222222	
0.783015873015873	0.883928571428571	0.91991341991342	0.788095238095238	
0.862433862433862	0.870555555555556	0.871683871683872	0.814978354978355	
0.842948717948718	0.879295704295704	0.812331002331002	0.826141490088859	
0.968253968253968	0.903333333333333	0.896503496503496	0.879356060606061	
0.813783993783994	0.903333333333333	0.938095238095238	0.816666666666667	
0.926984126984127	0.778730158730159	0.948051948051948	0.901731601731602	
0.951159951159951	0.820952380952381	0.891452991452992	0.872222222222222	
0.855627705627706	0.941818181818182	0.934444444444445	0.86530303030303	
0.944230769230769	0.854964207905384	0.894083694083694	0.896037296037296	
0.853846153846154	0.835626102292769	0.971428571428572	0.981481481481482	
0.871434121434121	0.916346153846154	0.881731601731602	0.878095238095238	
0.975	0.871957671957672	0.907575757575758	0.866666666666667	
0.762393162393162	0.83	0.827373737373737	0.824761904761905	
0.848928571428571	0.84491341991342	0.937777777777778	0.907941176470588	
0.82031746031746	0.887777777777778	0.913675213675214	0.941758241758242	
0.901414141414141	0.888787878787879	0.872008547008547	0.903246753246753	
1	0.834343434343434	0.848846153846154	0.807272588522589	
0.854230769230769	0.894207027540361	0.888271604938272	0.89491341991342	
0.76751012145749	0.938636363636364	0.91517094017094	0.873008658008658	
0.94973544973545	0.853906093906094	1	0.911818181818182	
0.953703703703704	0.971428571428572	0.870726495726496	0.87991341991342	
0.913333333333333	0.904761904761905	0.95	0.933246753246753	
0.893223443223443	0.767556561085973	0.951111111111111	0.896666666666667	
0.854230769230769	0.942760942760943	0.896666666666667	0.832222222222222	
0.839059829059829	0.842326007326007	0.891341991341991	0.918831168831169	
0.91638608305275	0.981481481481482	0.909290709290709	0.95	
0.791341991341991	0.829038281979459	0.89	0.936818181818182	
0.853703703703704	0.926428571428571	0.901666666666667	0.850529100529101	
0.874897119341564	0.91	0.912537136066548	0.931428571428571	
0.933333333333333	0.804444444444444	0.933333333333333	0.835024531024531	
0.825659340659341	0.915151515151515	0.831428571428571	1	
0.957777777777778	0.95	0.946666666666667	0.914285714285714	
0.884615384615385	0.890659340659341	0.860518648018648	0.910897435897436	
0.790005316321106	0.886190476190476	0.806378294907707	0.84986568986569	
1	0.863611111111111	0.871428571428571	0.863095238095238	
0.904842071508738	0.876414141414142	0.935897435897436	0.935	
0.806532356532357	0.917410714285714	0.941666666666667	0.941818181818182	
0.924893162393163	0.935064935064935	0.946031746031746	0.906666666666667	
0.863246753246753	0.79021164021164	0.908214624881291	0.830454545454545	
0.938636363636364	0.9	0.971428571428572	0.935064935064935	
0.881818181818182	0.879230769230769	0.825925925925926	0.965151515151515	
0.812438672438672	0.921428571428571	0.981481481481482	0.887667887667888	
0.962962962962963	0.98	0.884330484330484	0.924786324786325	
0.897411616161616	0.971428571428571	0.857326007326007	0.816666666666667	
0.941414141414141	0.955555555555555	0.885858585858586	0.925308641975309	
0.958333333333333	0.867301587301587	0.889206349206349	0.907326007326007	
0.945151515151515	0.908484848484848	0.847477522477523	0.948484848484849	
0.9375	0.75507215007215	0.955555555555555	0.817973384640051	
0.784188034188034	0.913333333333333	0.971428571428572	0.940151515151515	
0.911816578483245	0.927777777777778	0.901428571428571	0.9	
0.876623376623377	0.875661375661376	0.875151515151515	0.951428571428571	
0.888095238095238	0.955555555555555	0.825925925925926	0.95679012345679	
0.921818181818182	0.921794871794872	0.916200466200466	0.919753086419753	
0.949230769230769	0.921428571428571	0.905627705627706	0.895061728395062	
0.969230769230769	0.889594356261023	0.981481481481482	0.868095238095238	
0.935664335664336	0.88031746031746	0.954761904761905	0.859217171717172	
1	0.894179894179894	0.957777777777778	0.837445887445887	
1	0.971428571428572	0.898333333333333	0.885064935064935	
0.913636363636364	0.91	1	0.917651515151515	
0.911282051282051	0.917777777777778	0.981818181818182	0.906969696969697	
0.984615384615385	0.981818181818182	0.931818181818182	0.944444444444444	
0.927328843995511	0.912564102564102	0.913095238095238	0.873646723646724	
0.852142857142857	0.949206349206349	0.890555555555556	0.981481481481482	
0.955555555555555	0.815974765974766	0.91959595959596	0.913246753246753	
0.880250305250305	0.971428571428571	0.906024531024531	0.924206349206349	
0.868131868131868	0.885	0.893100233100233	0.894444444444444	
0.867857142857143	0.963333333333333	0.983333333333333	0.925	
0.952777777777778	0.927272727272727	0.892715617715618	0.908831908831909	
0.935555555555555	0.734295334295334	0.932867132867133	0.922477522477523	
0.883333333333333	0.876262626262626	1	0.902777777777778	
0.872574955908289	0.923232323232323	0.876190476190476	0.888095238095238	
0.923636363636364	0.981481481481482	0.86031746031746	0.91991341991342	
0.89709595959596	0.828846153846154	0.944761904761905	0.983333333333333	
0.948148148148148	0.88	0.935	0.884206349206349	
0.93030303030303	0.888034188034188	0.820151515151515	0.916305916305916	
0.885185185185185	0.885	0.932539682539683	0.927472527472527	
0.934382284382284	0.972222222222222	0.937179487179487	0.862962962962963	
0.911111111111111	0.96	0.743672993672994	0.86	
0.966666666666667	0.875661375661376	0.859206349206349	0.921428571428571	
0.913246753246753	0.941818181818182	0.944185444185444	0.826969696969697	
0.832897603485839	0.78031746031746	0.894017094017094	0.937777777777778	
0.95	0.883588633588634	0.897948717948718	0.865	
0.912862137862138	0.885	0.935353535353535	0.944615384615385	
0.897008547008547	0.923484848484848	0.940659340659341	0.953246753246753	
0.963333333333333	0.905	0.848412698412698	0.924206349206349	
0.921111111111111	0.953246753246753	0.923232323232323	0.955555555555555	
0.863246753246753	0.97979797979798	0.972222222222222	0.907407407407408	
0.916414141414141	0.95	0.941818181818182	0.981818181818182	
0.926666666666667	0.878266178266178	0.949206349206349	0.953086419753086	
0.944444444444444	0.891941391941392	0.877802197802198	1	
0.963636363636364	0.861279461279461	0.945151515151515	0.883333333333333	
0.826984126984127	0.963333333333333	0.939615384615385	0.881111111111111	
0.983333333333333	0.881818181818182	0.85943722943723	0.837049062049062	
0.934926184926185	0.966666666666667	0.837822671156005	0.844675324675325	
0.931216931216931	0.901428571428571	0.917171717171717	0.946031746031746	
0.963636363636364	0.938095238095238	0.877453102453103	0.981818181818182	
1	0.931428571428571	0.981818181818182	0.913095238095238	
